,ICE - ETOBICOKE PLANT,Forecast1,Etobicoke,,,,Month Remainder,,,,,,,,,,,
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 7d,,0,Supply,,,, 	-    ," 	327,150  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 327150,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,2/2/26,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "," 	327,150  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10645000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,"69,386",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000305,BAG FRESSNAPF PE BP 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 7d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,12/31/25
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
51022000,-,-,-,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000319,BOX QUALICAT PI 22.7KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 14d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000320,LINER 1.5MIL 12 X 10 X 33,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,"158,867",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,," 	286,450  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 286450,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,1/31/26,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"370,317"," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "," 	370,317  "
,,,Safety Stock,75000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
58014000,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Premium,FG on  Hand:,160,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000322,BAG CLASSIC BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
